year,month,day,lineage,NCSOFT,KTJ,stock_price
2021,3,21,21,10,45,93.2
2021,3,28,34,21,30,83.4
2021,4,4,39,15,15,88.5
2021,4,11,30,10,20,90.6
2021,4,18,40,13,10,89.4
2021,4,25,36,8,2,86.1
2021,5,2,25,9,3,82
2021,5,9,15,9,7,85
2021,5,16,36,8,10,82.3
2021,5,23,23,7,15,85.6
2021,5,30,21,9,10,85.4
2021,6,6,29,5,2,85.8
2021,6,13,25,5,7,84.8
2021,6,20,25,7,13,82.5
2021,6,27,24,9,13,82
2021,7,4,46,5,10,83.4
2021,7,11,33,11,29,77.8
2021,7,18,22,6,16,80.9
2021,7,25,25,8,8,80.9
2021,8,1,22,4,18,81.2
2021,8,8,38,7,18,79
2021,8,15,34,11,15,85.3
2021,8,22,16,63,47,70.9
2021,8,29,28,96,79,63.3
2021,9,5,31,73,35,61.1
2021,9,12,39,100,97,58.9
2021,9,19,20,45,49,57.1
2021,9,26,37,56,30,57.1
2021,10,3,32,56,33,56
2021,10,10,29,27,8,58.2
2021,10,17,18,23,5,61.9
2021,10,24,60,22,11,62.1
2021,10,31,61,65,61,59.5
2021,11,7,51,63,14,78.6
2021,11,14,29,44,16,76
2021,11,21,35,26,14,70
2021,11,28,40,12,8,69
2021,12,5,37,14,3,73.7
2021,12,12,53,8,8,68
2021,12,19,27,9,8,65.6
2021,12,26,51,10,0,64.3
2022,1,2,35,9,8,60.6
2022,1,9,43,8,8,58.3
2022,1,16,11,8,3,56.5
2022,1,23,29,15,5,56.7
2022,1,30,17,9,3,53.6
2022,2,6,20,16,14,54
2022,2,13,34,21,5,51
2022,2,20,46,27,13,49.25
2022,2,27,37,15,100,46.35
2022,3,6,19,13,13,45.95
2022,3,13,72,20,0,45.2
